Equipe :,Black Bono Chèvre,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=KOM%20Zerkome%20%2C%20kang%20sae%20byeok%23eu067%20%2C%20Bono%20le%20bigorn%C3%A9%20%23EUW%20%2C%20Theops%20%231103%20%2C%2010o%20%23EXE                                        ,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,Zerkome,Kang Sae byeok,Bono le bigorn%C3%A9,Thops,10o
Elo :,Grandmaster,Master (200lp),D3,D4,D2
Main champ :,Urgot,,Corki,,
,,,,,
Equipe :,Blanc Bono Chèvre,,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=Sumwo%23EUW%2CMenestarr%233696%2CK1D%23EUW01%2COnTheJus2005%23OTJ%2CMKH+FLOMAYUSI%23EUW,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,Flowmayusi,OnTheJus2005,Menestarr / K1D,Menestarr / K1D,Sumwo
Elo :,Master (150lp),Master (400lp),Master (100lp),Master,Master
Main champ :,Urgot,,,,Bard
,,,,,
Equipe :,FF15,,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=f+X+t+o%23EUW31%2CLemonz+James%23EUW%2CSparadus%23EUW%2Cntomnr%23EUW%2Ckowski%23EUW,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,ntomnr,f X t o,Koswki,Sparadus,Lemonz James
Elo :,E2,E4,E3,P2,D1
Main champ :,Jayce,,,Jhin,Maokai
,,,,,
Equipe :,JAAJ,,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=No%C3%ABI+Flantier%23117%2CCHEEEEEEEEEEEEEF%23UBER%2CLFT+Mage+Enjoyer%23EUW%2CFTR+arK%23EUW%2CBryxuu%23sus,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,No%C3%ABl Flantier,CHEEEEEF,LFT Mage enjoyer,FTR arK,Bryxuu
Elo :,P3,D2,D3,P2,E4
Main champ :,,Poppy / Rell,Hwei / Azir,,
,,,,,
Equipe :,Les Cloportes,,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=I+MISS+HOMMMMIES%23THEMS%2CTacticalTheorist%23EUW%2Clvl+3+crook%23EUW%2CCC+Gam%CE%B1%23EUW%2CSir+Nathaniel%23EUW,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,CC Gama,Sir Nathaniel,lvl 3 crook,TacticalTheorist,I miss hommies
Elo :,E2,E1,D2,D3,E4
Main champ :,Kled,,Ad mid,,Nautilus / Rakan
,,,,,
Equipe :,Les Homards Epices,,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=manchou%23euw%2CN%C3%A9m%C3%A9sis%236969%2CRadola%23HMP%2Ccobrwar%23euw%2CDarrenshan%23euw,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,cobrwar,DarrenShan,N%C3%A9m%C3%A9sis,Radola,Manchou
Elo :,Silver,E4,P2,P3,E1
Main champ :,,,,,Enchanteurs (Janna / Lulu)
,,,,,
Equipe :,Les Souleveurs de Garonne,,,,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=manchou%23euw%2CN%C3%A9m%C3%A9sis%236969%2CRadola%23HMP%2Ccobrwar%23euw%2CDarrenshan%23euw,,,,
Role :,Top,Jungle,Mid,Adc,Supp
Pseudo :,Lokmays/Slobard,Marcel le perver,jejer,Leobia,Lokmays/Slobard
Elo :,D1,E2,D3,D3,D1
Main champ :,,,,,
,,,,,
Equipe :,MEC LES GAULOIS,,,,,
