Equipe :,Bots Intermédiaires,,,,,Score (a la main),Rang,Points
Lien multi :,https://www.op.gg/multisearch/euw?summoners=dguhyp%23EUW+%2CKayZzen%23EUW+%2CArchimax%23EUW%2C+Redmynray%232485%2CSumwo%23EUW+,,,,,41,Iron,1
Role :,Top,Jungle,Mid,Adc,Supp,,Bronze,2
Pseudo :,dguhyp,KayZzen,Archimax,Redmynray,Sumwo,,Silver,3
Elo :,Master (300),Emeraude,Master (0),Emeraude,Master (200),,Gold,4
Main champ :,"Gragas, Camille, Yone","Volibear, Gwen","Vel, Yone","Aphelios, Samira, Corki","Thresh, Braum, Rakan",,Platine,5
,,,,,,,Emeraude,6
Equipe :,Burger Frites,,,,,32,Diamant,7
Lien multi :,https://www.op.gg/multisearch/euw?summoners=AUR+Azz%23PUFF%2CAUR+Baosu%23PUFF%2CAUR+Rettleti%23PAFF%2CSir+Nathaniel%23EUW%2CGuts%23math,,,,,,Master,8
Role :,Top,Jungle,Mid,Adc,Supp,,Grandmaster,15
Pseudo :,AUR Rettleti,Sir Nathaniel,AUR Azz,AUR Baosu,Guts,,,
Elo :,Emeraude,Emeraude,Diamant,Diamant,Emeraude,,,
Main champ :,"Yone, Gwen","Elise, Shyvana",Sett,"Kalista, Aphelios",Blitz,,,
,,,,,,, 
Equipe :,EC Emerald,,,,,26,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=TwitchDartien%23EUW%2CCygola%23EUW%2CPurpuraCorvum%23EUW%2CPFR+SahDony%23666%2Cgalaeri%23GALA,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,PurpuraCorvum,PFR SahDony,galaeri,Cygola,TwitchDartien,,,
Elo :,Gold,Platine,Platine,Emeraude,Emeraude,,,
Main champ :,"Malphite, Garen, Kayle","Evelynn, Skarner, Viego","Taliyah, Karma","Xayah, Ezreal",Nasus (support xd),,,
,,,,,,, 
Equipe :,GIRL POWDER,,,,,35,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=%CE%A5%CF%88%CE%B9%CE%BB%CE%BF%CE%BD%23000%2CfXto%23EUW31%2CShunpo%23ARA%2CLeGrosMarteau%23EUW31%2CFF15+Lemonz%23EUW31,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,LeGrosMarteau,Υψιλον,Shunpo,fXto,FF15 Lemonz,,,
Elo :,Diamant,Master (0),Diamant,Emeraude,Diamant,,,
Main champ :,"Jayce, Olaf, Camille","Volibear, Gwen, Zyra",Katarina,"Jhin, Jinx","Maokai, Nami, Poppy",,,
,,,,,,, 
Equipe :,Gungnir,,,,,35,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=Ki%CE%B5tsuSama%23EUW%2CNice%23LFT%2CWightt%23EUW%2CPFG+Nice%23NICE%2CBob+Le+Tripoteur%23Coq1%2CADC+or+junglelol%23EUW,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,KiεtsuSama,ADC or junglelol,PFG Nice,Wightt,Bob Le Tripoteur,,,
Elo :,Diamant,Diamant,Emeraude,Diamant,Master (0),,,
Main champ :,"Ornn, Garen","Bel'Veth, Diana, Udyr","Mel, Aurora",Jhin,Bard,,,
,,,,,,, 
Equipe :,KCDQ,,,,,17,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=KCDQ+matraque%23666%2CKCDQ+Braquemart%23666%2CKCDQ+Bangala%23666%2CR%C3%A9servoir2pipi%23Pisse%2CKCDQ+Shlong,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Braquemard,Resevoir2pipi,Matraque,Bangala,Shlong,,,
Elo :,Bronze,Platine,Bronze,Emeraude,Bronze,,,
Main champ :,Mordekaiser,,Katarina,,,,,
,,,,,,, 
Equipe :,La bande du PMU,,,,,29,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=Yashi%232104%2CTPS+Nother%23EUW%2CFox%23EUWee%2CKDydoux%23best%2Cmanchou%23euw,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,TPS Nother,Yashi,Fox,KDydoux,Manchou,,,
Elo :,Emeraude,Emeraude,Emeraude,Gold,Diamant,,,
Main champ :,"Garen, Sett",Naafiri,Cassio,Ezreal,"Nautilus, Lulu",,,
,,,,,,, 
Equipe :,La Ruche,,,,,53,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=Sasha%23AKIRA%2Cclimber%23EUW%2CThibee%2300000%2CXintox%23NERV%2CTha%C3%AFs+Morel%23HYSTA,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Colfeo,Climber,Tha%C3%AFs Morel,Thib,Xintox,,,
Elo :,Diamant,Master (200),Master (100),Master (400),Grandmaster,,,
Main champ :,"Fiora, Camille",,,,,,,
,,,,,,, 
Equipe :,La Sauce Du Chef,,,,,19,,
Lien multi :,https://op.gg/multisearch/euw?summoners=SkyFiree%23EUW%2CVicode%23EUWFR%2CSphyrna+zygaena%23EUW%2CLouu%232310%2CTSP+Toga280%23EUW,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Sphyrna,SkyFiree,Louu,TSP Toga280,VICODE,,,
Elo :,Gold,Gold,Platine,Platine,Iron,,,
Main champ :,,,,Xayah,,,,
,,,,,,, 
Equipe :,Les minorit%C3%A9s,,,,,23,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=noemiefeatmonkey%23uwu%2CDragjoo%23EUW%2CJAK+%C3%89CLAIR%2300000%2CTsuvai%23520%2CQuetzalcoatl%23EUWTA%2CJulesgrizzli%239348%2CSETTaismieuavant%23EUW,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,SETTaismieuavant,JAK ECLAIR,noemiefeatmonkeys,Tsuvai,Dragjoo,,,
Elo :,Emeraude,Platine,Platine,Gold,Silver,,,
Main champ :,Sett,Graves,,Draven,"Pantheon, Alistar",,,
,,,,,,, 
Equipe :,LIONS GUARD,,,,,33,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=LG+Azi%CE%B1s%23OGNAM%2CLG++Isowix%230409%2CLG+TwoT%237533%2CZaliarell%23EUW%2CDK+%EA%B0%9C%EC%95%BD%23KPOP,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,DK 공백,LG Azias,Zaliarell,LG Isowix,LG TwoT,,,
Elo :,Emeraude,Diamant,Diamant,Emeraude,Diamant,,,
Main champ :,"Zyra, Xin, Wukong","Syndra, Lux, Ahri, Cassio","Ezreal, Jinx, Vayne, MF","Braum, Hookers, Bard, Poppy",,,,
,,,,,,, 
Equipe :,Mickey Mouse Club,,,,,33,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=killycurly%23mrc%2Cgentil%23sympa%2Cel+pueblito%23euw%2Czinoleos%23euw%2Crotten+stray+dog%23euw,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Rotten Stray Dogs,zinoleos,El Pueblito,Gentil,Killycurly,,,
Elo :,Diamant,Emeraude,Emeraude,Emeraude,Master (0),,,
Main champ :,"Quinn, Volibear","Kayn, Kha","Ryze, Kennen","Twitch, Aphelios","ZILEAN, Bard, Taric, Blitz",,,,
,,,,,,, 
Equipe :,Pas de quartier,,,,,28,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=Spectror%23BLOP%2CCafard+La+Malice%23KFAR%2Cgalaeri%23GALA%2Czerkamaka6641%23EUW%2CLaG%C3%ACrafe%23Bibou,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Spectror,zerkamaka6641,galaeri,LaGirafe,Cafar La Malice,,,
Elo :,Diamant,Emeraude,Platine,Platine,Platine,,,
Main champ :,"Sett, Warwick, Poppy","Xin, Viego",Ahri,"Xayah, Sivir","Thresh, Bard, Rakan",,,,
,,,,,,, 
Equipe :,PCS Genuise,,,,,37,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=Beff%23Meff%2CSelkie+r%C3%AAve%23EUW%2Cluxanna%2BGilSayan%23light%2CLasagna%23EEPER%2CThe+Chosen+One%23EUWW,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Beff,Selkie r%C3%AAve,Luxanna,Lasagna,The Chosen One,,,
Elo :,Diamant,Diamant,Diamant,Master (0),Master (0),,,
Main champ :,"Poppy, Warwick","Diana, Amumu, Skarner","Viktor, Lux, Cassio","Ashe, Twitch","Nami, Yuumi, Soraka",,,,
,,,,,,, 
Equipe :,Pipi Gaming,,,,,54,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=RR+D1%23EUW%2CTayme%23euw%2Ccaca+anonyme+2%23uno%2COnikiezi%23euw%2CNEP+Zerkome%23EUW03,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Zerkome,caca anonyme 2,Tayme,Onikiezi,RR D1,,,
Elo :,Grandmaster,Master (500),Master (0),Emeraude,Master (400),,,
Main champ :,"Warwick, Garen, Cho, Illaoi (eh nique sa m%C3%A8re","Fiddlestick, Gragas, Karthus","Corki, Viktor","Aphelios, Kai'sa","Nami, Elise",,,,
,,,,,,, 
Equipe :,zizicacacorp,,,,,29,,
Lien multi :,https://www.op.gg/multisearch/euw?summoners=TRK%23KCORP%2CAnkhanatos%23SAU6%2CMotorsKing%23EUW%2CARTUEUR%23RAT%2CHingo%23034,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Thony (TRK),Ankhanatos,Motors King,ARTUEUR,Hingo,,,
Elo :,Platine,Platine,Platine,Diamant,Diamant,,,
Main champ :,Poppy,"Wukong, J4","Akali, Cassio","Twitch, Ezreal, Ashe","Poppy, Rell, Karma",,,,
