Equipe :,4China+Vinci,,,,,Score (a la main),Rang,Points
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=Noemiefeatmonkey%23UwU%2CSettaismieuavant%23EUW%2CDragjoo%23EUW%2CLimuls%230000%2Ctsuvai%23520%2C,,,,,23,Iron,1
Role :,Top,Jungle,Mid,Adc,Supp,,Bronze,2
Pseudo :,SETTaismieuavant,Limuls,noemiefeatmonkeys,Tsuvai,Dragjoo,,Silver,3
Elo :,Emeraude,Platine,Platine,Gold,Silver,,Gold,4
Main champ :,Sett,Graves,,Draven,"Pantheon, Alistar",,Platine,5
,,,,,,,Emeraude,6
Equipe :,4 goats et le 2010,,,,,0,Diamant,7
Lien multi :,,,,,,,Master,8
Role :,Top,Jungle,Mid,Adc,Supp,,Grandmaster,15
Pseudo :,,,,,,,,
Elo :,,,,,,,,
Main champ :,,,,,,,,
,,,,,,,,
Equipe :,Burger Frites,,,,,37,,
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=AUR+Rettleti%23PAFF%2CGuts%2300I%2CAUR+Azz%23PUFF%2CAUR+Baosu%23PUFF%2CAUR+Purin%23PUFF,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,AUR Rettleti,AUR Purin,AUR Azz,AUR Baosu,Guts,,,
Elo :,Diamant,Diamant,Master (0),Master (0),Diamant,,,
Main champ :,"Yone, Gwen",,Sett,"Kalista, Aphelios",Blitz,,,
,,,,,,,,
Equipe :,chasse et pêche,,,,,26,,
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=Boubouzaro%23OUIN%2Ckimcannacaliste%23kcwin%2CSeyZo%23EUW%2CSumwo%23EUW%2CCøchon+énervé%23CVRAI,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Boubouzaro,Cøchon énervé,KimCannaCaliste,SeyZo,Sumwo,,,
Elo :,Diamant,Master (100),Master (100),Master (600),Master (200),,,
Main champ :,Ornn,"Sejuani, Ivern",,"Tristana, Ezreal","Bard, Thresh",,,
,,,,,,,,
Equipe :,Chill Guys,,,,,35,,
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=ODE+Lupikku%23EUW%2CCos+TAKU%23kirby%2CSkarito%232303%2CTanguy+en+Y%23miaou%2CASLM+Shad%23Mites%2C,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,ASLM Shad,ODE Lupikku,Cos TAKU,Skarito,Tanguy en Y,,,
Elo :,Master (0),Emeraude,Emeraude,Diamant,Emeraude,,,
Main champ :,Ornn,"Viego, Kindred","Neeko, Katarina",Aphelios,"Pyke, Rakan",,,
,,,,,,,,
Equipe :,EC Emerald,,,,,35,,
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=TwitchDartien%23EUW%2CCygola%23EUW%2CKouign+Amann%23001%2CPFR+SahDony%23666%2CCrips95v2%23EUW,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Crips95v2,PFR SahDony,Kouign Amann,Cygola,TwitchDartien,,,
Elo :,Master (0),Platine,Platine,Emeraude,Emeraude,,,
Main champ :,"Olaf, Darius, Garen","Evelynn, Skarner, Viego","Vel'koz, Ahri","Xayah, Lucian, Ezreal",Nasus (support xd),,,
,,,,,,,,
Equipe :,FF 15 Policy,,,,,17,,
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=Symbi0se%23HooK%2CShun%23Skys%2Ckyuri%23naab%2Cblackeyes%23supp%2CRevert+Skarner%23Khako,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,,Revert Skarner,Kyuri,blackeyes,Symbi0se,,,
Elo :,,Emeraude,Emeraude,Emeraude,Diamant,,,
Main champ :,,,,,,,,
,,,,,,,,
Equipe :,Gooning Corp,,,,,29,,
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=make+you+mine%23beer%2CStarnight%2300000%2CGiacoco%23EUW%2Cvote+yes%232kis%2CHowDidWeGetHere%23ABCDE,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,vote yes,Giacoco,HowDidWeGetHere,Starnight,make you mine,,,
Elo :,Emeraude,Gold,Platine,Gold,Gold,,,
Main champ :,"Garen, Jax, Darius",,Irelia,Kai'sa,Rakan,,,
,,,,,,,,
Equipe :,KCDQ,,,,,53,,
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=KCDQ+Braquemart%23666%2CKCDQ+braquemar%23666%2CRadio+Head+Lover%23JFIP%2CC0uilleGauche%23POIL%2CC0uilleDroite%23POIL%2Cnenegeek31%23EUW%2C,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Braquemard,,,,,,,
Elo :,Bronze,,,,,,,
Main champ :,Mordekaiser,,,,,,,
,,,,,,,,
Equipe :,La Ruche,,,,,19,,
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=Colfeo%23LRC%2CClimber%23EUW%2CThibee%2300000%2CKillycurly%23420%2CErgo+Proxy%23347,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Colfeo,Climber,Sam,Thib,Killycurly,,,
Elo :,Diamant,Master (400),Master (600),Grandmaster,Master (100),,,
Main champ :,,,,,,,,
,,,,,,,,
Equipe :,Les misérables,,,,,23,,
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=Victor%23Oui%2CShayx%23BAGAR%2CPoTaTo+Seed%23EUW%2CJorga%23SFC%2C%E3%83%86%E3%82%AF%E3%82%B7%E3%83%A9%E3%83%83%E3%83%88%23EUW2%2CTwTv+Ciliano%23FTW%2CHugo%23OTEUR,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Jorga,テクシラ,Ciliano,Victor,Hugo,,,
Elo :,Gold,Master (300),Diamant,Master (200),Master (100),,,
Main champ :,Tanks,"Bel'veth, Rengar, Shaco",Sylas,"Jhin, Caitlyn",Rell,,,
,,,,,,,,
Equipe :,Les toxicos,,,,,33,,
Lien multi :,https://op.gg/no/lol/multisearch/euw?summoners=LΞlouch%230000%2CYUKINO%23DEUS%2CPyke+The+Creator%23Rell%2CSigmund+Freud%23Aphel%2Cel+pueblito%2CKeryoxx%2C,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Keryoxx,El Pueblito,Lelouch,Sigmund Freud,Pyke The Creator,,,
Elo :,Diamant,Emeraude,Diamant,Emeraude,Emeraude,,,
Main champ :,"Rumble, Gragas",Kindred,"Vladimir, Swain",Aphelios,Pyke,,,
,,,,,,,,
Equipe :,Lion's Guard,,,,,33,,
